fuente_pdf,pagina_aprox,sector,fondo_documental,unidad_productora,fraccion_documental,codigo_serie,serie_documental,tipo_documento,valor_serie,retencion_ag,retencion_ap,retencion_oaa,retencion_total,valoracion_decision,valoracion_destino,valoracion_momento,valoracion_justifica,hash_fila
anexo2_layout.txt,103,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CORE,CORE/01,EXPEDIENTES DE COBRANZAS DE APELACIONES,EXPEDIENTES DE COBRANZAS DE APELACIONES,TEMPORAL,2,5,8,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,d4a4de6b4d907a655c0470842f9f81f73c296311a5a1d9fb60a79c7c3d01fc46
anexo2_layout.txt,103,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CORE,CORE/02,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,2,6,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,573ed82de478842bdbf73fc34d3437dd079e5d933b4c4c5d0e15c0144f3356e4
anexo2_layout.txt,104,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COTR,COTR/01,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,3,5,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,952658aa4af68e1f00735469f090a944988efd85e4d31be6c1fb55442aecb554
anexo2_layout.txt,105,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),FACT,FACT/01,RESOLUCIONES,RESOLUCIONES,PERMANENTE,2,5,23,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,464a08ef3147427a1282b9465c58680a5d9f84ff9cea58bf78d49a2cc3932034
anexo2_layout.txt,106,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),RECL,RECL/01,RESOLUCIONES,RESOLUCIONES,PERMANENTE,2,5,23,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,003db11127cdca96dc52ea5e6d2f4e5640a86d6db3fb5b98d80feec3814ac97f
anexo2_layout.txt,107,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),FRAC,FRAC/01,RESOLUCIONES,RESOLUCIONES,PERMANENTE,2,5,23,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,29a4dff959bbab22eae24e55a4cb098fdd89bcefe86647a110a73aa266f4d02a
anexo2_layout.txt,108,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),DEVO,DEVO/01,RESOLUCIONES,RESOLUCIONES,PERMANENTE,2,5,23,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,683624ac8260abfd3bd198ce0aec2c610003a6061960a4e09a4d795e891eedec
anexo2_layout.txt,109,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COAC,COAC/01,EXPEDIENTES DE COBRANZAS COACTIVAS,EXPEDIENTES DE COBRANZAS COACTIVAS,TEMPORAL,2,3,10,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,82ae3b7fd8ec0499a51be4307b8a706203711398b04aa13a3d40a68897396988
anexo2_layout.txt,109,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COAC,COAC/02,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,3,5,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,5d941eea81371680b985264a67a50da40f7e77a254d5a8b4c1502e45719da6c4
anexo2_layout.txt,110,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),RECU,RECU/01,EXPEDIENTES DE DACION DE PAGO,EXPEDIENTES DE DACION DE PAGO,TEMPORAL,2,5,8,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,13c9db3724edb5f4c1ef9490a013322886d08bb3a833ce707980a6e918be13e6
anexo2_layout.txt,110,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),RECU,RECU/02,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,3,5,10,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,49eb62392bd6e370f8ad02d0637023d01c4b2421136df453be891ce78247bb6a
